,,,,,
,,,,,
,,,,,
,,,,Наименование,Колич
,,,,ПОДШИПНИКИ,
,,,1,75-108БТ2,7
,,,2,5-292206Р3,10
,,,3,5-292106БТ2,2
,,,4,5-292207Б2Т2,8
,,,5,5-100099НТ,87
,,,6,6-1000099ЮТ,6
,,,7,6-106БТ2,9
,,,8,6-304Р2,7
,,,9,6-42306Р1,7
,,,10,5-42206Р1,2
,,,11,6-206Р1,3
,,,12,104Р1,2
,,,13,30-200Р,4
,,,14,36203КБ1Т2,4
,,,15,Ш6ЮТ,42
,,,16,180504Е1,305
,,,17,8201Т2,514
,,,18,36203КББ1Т2,258
,,,19,62202К5,42
,,,20,180502Е2,32
,,,21,900706,20
,,,22,6-12305Р1,4
,,,23,62204R5,11
,,,24,ОУ900808,10
,,,25,75-180504,10
,,,26,75-180506,68
,,,27,23 (3х10х4),1280
,,,28,180205Е1,14
,,,29,5-32206Р7,4
,,,30,2ШС17Ю2Т,37
,,,31,1006-У,6
,,,32,1008,4
,,,33,1302,11
,,,34,76106Б,315
,,,35,8306,53
,,,36,4074106У1,36
,,,37,60089,929
,,,38,900706,67
,,,39,106Б,10
,,,40,5-24Т2,80
,,,41,5-292206Р7,10
,,,42,76-106Б                      ГПЗ,59
,,,43,90070Б                     4 ГПЗ А,10
,,,44,76 106Б                    2 ГПЗ,12
,,,45,2ШС17Ю2УТ           3 ГПЗ,10
,,,46,А 9977067С2          3 ГПЗ,9
,,,47,А 36203 КБ173,1
,,,48,КУШС17Ю1             3ГПЗ,8
,,,49,45-276304Р,20
,,,50,180504Е1,50
,,,51,80305К1С17,50
,,,52,971067 ЮУ,19
,,,53,180502Е1,5
,,,54,180502Е2,122
,,,,ШПЛИНТЫ,
,,,1,3х52,
,,,2,4х63,
,,,3,3х23,
,,,4,"3,5х32",
,,,5,"1,5х25",
,,,6,2х30,
,,,7,1х12,
,,,8,3х32,
,,,9,2х15,
,,,10,"1,6х22",
,,,11,2х24,
,,,12,,
,,,13,,
,,,14,,
,,,15,,
,,,16,,
,,,17,,
,,,18,,
,,,19,,
,,,20,,
,,,21,,
,,,22,,
,,,23,,
,,,24,,
,,,25,,
,,,26,,
,,,27,,
,,,28,,
,,,29,,
,,,30,,
,,,31,,
,,,32,,
,,,33,,
,,,34,,
,,,35,,
